"Header1","Header2","Header3"
"assistant commissioner","overseeing the working of division. ","1"
"assistant commissioner","pca","1"
"assistant commissioner","presentation","1"
"assistant commissioner","processing tax refunds","1"
"assistant commissioner","prosecution in courts","1"
"assistant commissioner","quasi judicial adjudication","1"
"assistant commissioner","reach out","1"
"assistant commissioner","recovery","1"
"assistant commissioner","rectification","1"
"assistant commissioner","registration","1"
"assistant commissioner","reporting","1"
"assistant commissioner","review of legal order.","1"
"assistant commissioner","supervision of all activities in the division","1"
"assistant commissioner","technical","1"
"assistant commissioner","training","1"
"assistant commissioner","vigilance","1"
"deputy commissioner of income tax","investigation","2"
"deputy commissioner of income tax"," analysing risk parameters","1"
"deputy commissioner of income tax"," analysis of tally data and other books of account","1"
"deputy commissioner of income tax"," apa","1"
"deputy commissioner of income tax"," assessment","1"
"deputy commissioner of income tax"," investigation","1"
"deputy commissioner of income tax"," preparing position papers","1"
"deputy commissioner of income tax"," search and seizure","1"
"deputy commissioner of income tax","administrative matters","1"
"deputy commissioner of income tax","advance pricing agreements","1"
"deputy commissioner of income tax","analysing information points ","1"
"deputy commissioner of income tax","analysis of balance sheet and profit and loss account","1"
"deputy commissioner of income tax","analysis of information","1"
"deputy commissioner of income tax","assessment","1"
"deputy commissioner of income tax","assessment ","1"
"deputy commissioner of income tax","better understanding of acts and legal interpretations","1"
"deputy commissioner of income tax","carry out assessment of non-resident entities","1"
"deputy commissioner of income tax","checks returns of income filed by assessees to see if provsions of income tax act are violated","1"
"deputy commissioner of income tax","collection of information from open sources or other agencies","1"
"deputy commissioner of income tax","compilation of data and data science","1"
"deputy commissioner of income tax","coordinating with legal cells/agencies","1"
"deputy commissioner of income tax","coordination with field offices","1"
"deputy commissioner of income tax","countering tax evasion","1"
"deputy commissioner of income tax","court matters","1"
"deputy commissioner of income tax","data analysis","1"
"deputy commissioner of income tax","digital forensics","1"
"deputy commissioner of income tax","drafting interventions","1"
"deputy commissioner of income tax","drafting risk parameters","1"
"deputy commissioner of income tax","drafting standard operating procedures","1"
"deputy commissioner of income tax","efiling and itr processing operations","1"
"deputy commissioner of income tax","filing affidavits","1"
"deputy commissioner of income tax","financial analysis","1"
"deputy commissioner of income tax","financial matters","1"
"deputy commissioner of income tax","forensic accounting","1"
"deputy commissioner of income tax","income tax","1"
"deputy commissioner of income tax","international taxation","1"
"deputy commissioner of income tax","international treaties","1"
"deputy commissioner of income tax","leading a team","1"
"deputy commissioner of income tax","management of staff","1"
"deputy commissioner of income tax","manages grievance redressal mechanisms  related to cpgrams portal ","1"
"deputy commissioner of income tax","money trailing and bank account statement analysis","1"
"deputy commissioner of income tax","negotiation","1"
"deputy commissioner of income tax","order u/s 201/(1a)","1"
"deputy commissioner of income tax","presentation of summary reports","1"
"deputy commissioner of income tax","presenting summary and concept notes","1"
"deputy commissioner of income tax","profiling","1"
